Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1690117626-1;16;71903;6;101-Artes graficas
101;Artes graficas;1690117719-1;15;22580;7;101-Artes graficas
101;Artes graficas;1690117863-1;23;18091;4;101-Artes graficas
101;Artes graficas;1690120009-1;4;265;1;101-Artes graficas
101;Artes graficas;1690122401-1;24;466483;8;101-Artes graficas
101;Artes graficas;1690126702-1;6;2766;1;101-Artes graficas
101;Artes graficas;1690126822-1;24;3293858;24;101-Artes graficas
101;Artes graficas;1690127808-1;24;127565;13;101-Artes graficas
101;Artes graficas;1690129402-1;23;49506;16;101-Artes graficas
101;Artes graficas;1690130144-1;24;85158;8;101-Artes graficas
101;Artes graficas;1690130444-1;12;3533;1;101-Artes graficas
101;Artes graficas;1690130716-1;22;46581;10;101-Artes graficas
101;Artes graficas;1690132329-1;11;121;1;101-Artes graficas
101;Artes graficas;1690133539-1;17;4187;4;101-Artes graficas
101;Artes graficas;1690139779-1;24;94220;10;101-Artes graficas
101;Artes graficas;1690143730-1;24;19694;11;101-Artes graficas
101;Artes graficas;1690144273-1;17;109;1;101-Artes graficas
101;Artes graficas;1690149613-1;9;6959;2;101-Artes graficas
101;Artes graficas;1690158687-1;23;366927;17;101-Artes graficas
101;Artes graficas;1690161710-1;24;52018;19;101-Artes graficas
101;Artes graficas;1690163096-1;24;180313;13;101-Artes graficas
101;Artes graficas;1690164690-1;17;19976;2;101-Artes graficas
101;Artes graficas;1690164829-1;23;21841;5;101-Artes graficas
101;Artes graficas;1690167694-1;23;4555;5;101-Artes graficas
101;Artes graficas;1690169606-1;22;16037;4;101-Artes graficas
101;Artes graficas;1690171309-1;24;315172;17;101-Artes graficas
101;Artes graficas;1690172321-1;17;1426;4;101-Artes graficas
101;Artes graficas;1690173201-1;23;54132;5;101-Artes graficas
101;Artes graficas;1692029579-1;24;22974;5;101-Artes graficas
101;Artes graficas;1720028820-1;24;2394980;24;101-Artes graficas
101;Artes graficas;1720030120-1;9;146019;8;101-Artes graficas
101;Artes graficas;1720032578-1;24;1303076;17;101-Artes graficas
101;Artes graficas;1720033702-1;21;80141;15;101-Artes graficas
101;Artes graficas;1720034949-1;24;345231;24;101-Artes graficas
101;Artes graficas;1720036820-1;18;824232;14;101-Artes graficas
101;Artes graficas;1720044252-1;24;652120;17;101-Artes graficas
101;Artes graficas;1720044478-1;15;2084;2;101-Artes graficas
